id,city,type,squareMeters,Size of Apartment,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
feed149c32256ed5e7fc6ab8159d1a6d,radom,blockOfFlats,60.75,Big,2,1,4,2015,51.4047892,21.1448479,0.27,27,0.138,0.259,0.304,0.569,0.212,0.541,0.221,condominium,,premium,yes,yes,yes,no,no,2300
478f23200425a0acfe73a2dfaf18ada8,warszawa,apartmentBuilding,60.8,Big,3,1,3,2003,52.201203,20.9566859,4.66,16,0.064,1.129,0.195,0.187,0.167,1.661,0.086,condominium,brick,,yes,yes,no,no,no,4400
f46a6d5f1caf28a75fccc6ab30a53944,warszawa,apartmentBuilding,61,Big,3,3,6,2023,52.2904,21.0174,6.59,8,0.434,0.76,0.263,0.357,0.278,2.413,0.258,condominium,brick,,yes,no,yes,no,no,3500
1c2584006edd272ea06cbc5de418a42c,katowice,apartmentBuilding,61,Big,3,3,15,2021,50.2782068,18.97461916,3.83,16,0.246,0.935,0.325,0.309,0.218,1.289,0.131,condominium,brick,premium,yes,no,yes,no,no,2600
767b1503e4bc3ef7069eb5557d05d386,lodz,apartmentBuilding,61,Big,3,11,16,2020,51.76188775,19.46672765,2.33,24,0.306,0.572,0.506,0.279,0.277,0.265,0.302,condominium,brick,,yes,yes,yes,no,no,3500
0846c5a058c6db6ef2feb70ded93edf0,warszawa,apartmentBuilding,61,Big,3,1,7,2020,52.17553,20.99162,6.3,18,0.69,0.084,0.691,0.265,0.093,2.02,0.127,condominium,brick,,no,no,yes,no,no,4800
2474713a5a8d2a49000d30981710ff3d,szczecin,apartmentBuilding,61,Big,2,2,3,2018,53.4420743,14.4916794,5.04,6,0.603,0.958,0.145,0.264,0.171,2.589,0.134,condominium,brick,premium,yes,yes,no,no,no,3000
e66a40b2dcc53f2418e256a91ed42ea5,warszawa,apartmentBuilding,61,Big,3,,4,2017,52.2419112,20.9053732,6.78,19,0.707,0.439,0.721,0.124,0.369,2.419,0.222,condominium,brick,,yes,yes,yes,yes,no,4500
02df70bae7ff3da4164c41aa6aafe924,krakow,apartmentBuilding,61,Big,3,4,9,2016,50.058237,19.9634074,1.81,16,0.44,0.048,0.246,0.277,0.243,0.719,0.128,condominium,brick,,no,yes,yes,no,no,4950
c4815a06e60990a8bdd90ff02ea5c736,warszawa,apartmentBuilding,61,Big,2,1,6,2015,52.2503,21.0347,2.96,36,0.1,0.87,0.182,0.019,0.064,0.592,0.292,condominium,concreteSlab,,yes,yes,yes,yes,no,5600
11a6fb239cb584bcc95d3795a0854e26,krakow,apartmentBuilding,61,Big,2,3,3,2014,50.016104,19.9058054,4.94,8,0.716,0.392,0.266,0.079,0.348,3.223,0.255,condominium,brick,premium,yes,yes,no,no,no,3000
4ad2107bdb4705e0f537ba09058fe872,krakow,apartmentBuilding,61,Big,3,5,6,2010,50.0795,19.9252,2.85,17,0.285,0.667,0.186,0.078,0.105,0.563,0.187,condominium,brick,premium,yes,yes,yes,no,yes,3200
51a4c1cbef4d4da0fe78488bc2eeed5a,poznan,blockOfFlats,61,Big,2,1,4,2010,52.42401557,16.91151243,2.42,9,0.189,1.65,0.876,0.886,0.101,1.658,0.161,condominium,,,no,yes,no,no,no,3000
08b3d2670cd29827b07f3b672fe1484e,wroclaw,blockOfFlats,61,Big,3,4,5,2009,51.0738724,17.04087221,4.17,16,0.198,0.848,0.65,0.068,0.078,1.673,0.265,condominium,,,yes,yes,yes,no,no,3500
920d429b2fe3e0a233ea6198514ebd69,warszawa,apartmentBuilding,61,Big,3,17,20,2009,52.2334907,20.9873565,1.12,66,0.149,0.235,0.343,0.19,0.013,1.049,0.105,condominium,brick,,yes,no,yes,no,no,8000
fddcbd0067504c2c25634499b7e225dd,warszawa,,61,Big,2,4,6,2008,52.13265,21.0663,11.82,44,0.196,0.071,0.325,0.031,0.025,0.804,0.054,condominium,,,no,no,yes,yes,no,3100
9acf68f08ca77b051ddc51ecb7ba19c1,warszawa,blockOfFlats,61,Big,2,7,7,2005,52.19299,20.98942,4.41,18,0.493,0.452,0.326,0.181,0.203,0.953,0.29,condominium,brick,,no,yes,yes,yes,no,4000
697e0e8cc463fb9ccd4c2266352f16c1,warszawa,apartmentBuilding,61.06,Big,3,5,5,2019,52.235,20.91709,5.9,15,0.373,0.386,0.412,0.321,0.323,1.989,0.422,condominium,brick,,yes,yes,yes,no,no,4900
df29c26a42e32298096e07f8aa1bd476,wroclaw,apartmentBuilding,61.09,Big,3,,2,2014,51.0528305,17.0141899,6.53,3,0.678,0.9,0.314,0.215,0.573,3.451,0.604,condominium,brick,,yes,no,yes,no,yes,4500
481ca4fde5453210471316ac1493e864,lodz,apartmentBuilding,61.16,Big,2,4,5,2016,51.7528935,19.4782045,3.57,11,0.199,0.351,0.331,0.523,0.124,1.47,0.383,condominium,brick,,yes,no,yes,yes,no,2500
6e98d0b1025335e410f875ffe8e11123,wroclaw,apartmentBuilding,61.2,Big,2,3,6,2011,51.1032363,17.0108377,1.56,15,0.201,0.922,0.379,0.181,0.196,0.67,0.347,condominium,brick,premium,no,yes,yes,no,no,3800
c6f310b3a3998437f1243247c67cfaf0,warszawa,apartmentBuilding,61.3,Big,2,10,12,2010,52.19,21.0043,4.64,24,0.107,0.455,0.129,0.106,0.249,0.255,0.524,condominium,brick,,yes,yes,yes,no,no,4500
a63ee1b0464ce20c2ee877f15a14ae83,poznan,apartmentBuilding,61.33,Big,3,3,5,2023,52.4282,16.9256,2.36,20,0.18,1.386,0.151,0.212,0.14,1.635,0.035,condominium,brick,,yes,yes,yes,no,no,3800
a2de1b73ff1069f7cf0404f643ea0424,lodz,,61.5,Big,3,1,4,2024,51.77124,19.47166,1.63,14,0.5,0.333,0.523,0.351,0.075,0.504,0.087,condominium,,,no,no,,no,no,2681
aed3f7687cdfe5874b762d9c34e24f52,warszawa,apartmentBuilding,61.5,Big,3,5,8,2022,52.2246,20.9407,4.35,41,0.424,0.198,0.128,0.111,0.035,0.332,0.324,condominium,brick,,yes,yes,yes,yes,yes,5000
01841d033fc3d62f35a899873f4059d1,krakow,apartmentBuilding,61.54,Big,2,4,4,2007,50.0775919,19.968252,3.27,12,0.059,0.561,0.44,0.076,0.361,1.509,0.256,condominium,brick,premium,yes,yes,yes,no,no,2550
a8d87d0e78fe1b5ab713002fae627a78,bialystok,blockOfFlats,61.65,Big,3,3,6,2016,53.1454544,23.12983775,1.69,19,0.163,0.259,0.544,0.343,0.144,1.464,0.163,condominium,,,yes,yes,yes,no,yes,2000
01a1990822461ccd9b5cd7b365186881,wroclaw,apartmentBuilding,61.67,Big,2,4,6,2017,51.10821843,17.04357932,1,37,0.343,0.2,0.056,0.351,0.022,0.423,0.176,condominium,brick,premium,yes,yes,yes,no,no,3950
67131360f79761b8b924e251c69c0b52,gdynia,,61.7,Big,3,,6,2005,54.5376763,18.448243,6.17,0,2.275,3.426,2.263,2.136,2.631,2.961,2.457,condominium,,,no,yes,yes,no,yes,2500
e95a91755a817740bed68b2d4ee261c8,krakow,apartmentBuilding,61.72,Big,3,5,5,2022,50.0407,19.9991,4.63,6,0.585,0.87,0.534,0.213,0.178,0.579,0.058,condominium,brick,premium,yes,yes,yes,no,no,4500
7600d457a8516dfbe289282fd39e931c,lodz,apartmentBuilding,61.78,Big,3,11,17,2019,51.749871,19.4739014,3.76,6,0.251,0.144,0.761,0.604,0.362,1.139,0.433,condominium,brick,,yes,yes,yes,no,no,3500
29392bb6ca9e1681e75616f5ecc10e12,lodz,apartmentBuilding,61.96,Big,3,1,5,2013,51.7518,19.46847,3.44,6,0.533,0.524,0.861,0.228,0.49,0.842,0.127,condominium,brick,,yes,yes,yes,no,no,4000
a21e1fc6a7c1073bd8632284c535c684,lodz,blockOfFlats,62,Big,3,2,4,2023,51.77129263,19.47202206,1.64,11,0.501,0.328,0.547,0.344,0.082,0.503,0.102,condominium,,,yes,no,yes,no,no,2680
